工作表名称,一级标题,二级标题,表格类型,表格顺序,备注,表格序号,列数合计,列宽1,列宽2,列宽3,列宽4,列宽5,列宽6,列宽7,列宽8,列宽9,列宽10,列宽11,列宽12,列宽13
QCF43 按欠款方归集的期末余额前五名的其他应收款情况(附注,八、财务报表主要项目注释,7、其他应收款,5,13,,35,6,20,12,12,12,12,12,,,,,,,
QCF44 由金融资产转移而终止确认的其他应收款(附注44表),八、财务报表主要项目注释,7、其他应收款,5,14,,36,3,32.53,20,27.47,,,,,,,,,,
QCF45 其他应收款转移(附注45表),八、财务报表主要项目注释,7、其他应收款,5,15,,37,2,40,40,,,,,,,,,,,
QCF46 存货分类(附注46表),八、财务报表主要项目注释,8、存货,1,1,后面缺一张跌价准备,39,7,20.27,10.33,10.27,9.8,9.73,10.27,9.33,,,,,,
QCF47 期末建造合同形成的已完工未结算资产情况(附注47表,八、财务报表主要项目注释,8、存货,1,3,,41,2,40,40,,,,,,,,,,,
QCF50 持有待售资产(附注50表),八、财务报表主要项目注释,9、持有待售资产,5,1,缺3张表,42,5,27.2,13.2,13.2,13.2,13.2,,,,,,,,
QCF51 一年内到期的非流动资产(附注51表),八、财务报表主要项目注释,10、一年内到期的非流动资产,5,1,,46,3,26.67,26.67,26.67,,,,,,,,,,
QCF52 其他流动资产(附注52表),八、财务报表主要项目注释,11、其他流动资产,5,1,,47,3,26.67,26.67,26.67,,,,,,,,,,
QCF55 可供出售金融资产情况(附注55表),八、财务报表主要项目注释,12、可供出售金融资产,1,1,,48,7,19.2,10.13,10.13,10.13,10.13,10.13,10.13,,,,,,
QCF56 期末按公允价值计量的可供出售金融资产(附注56表),八、财务报表主要项目注释,12、可供出售金融资产,1,2,缺1张,49,5,25.07,13.73,13.73,13.73,13.73,,,,,,,,
QCF57 可供出售权益工具期末公允价值严重下跌或非暂时性下跌,八、财务报表主要项目注释,12、可供出售金融资产,5,4,,51,7,15.2,10.8,10.8,10.8,11.67,10.33,10.4,,,,,,
QCF60 持有至到期投资情况(附注60表),八、财务报表主要项目注释,13、持有至到期投资,5,1,,52,7,22.07,9.67,9.67,9.67,9.67,9.67,9.6,,,,,,
QCF61 期末重要的持有至到期投资(附注61表),八、财务报表主要项目注释,13、持有至到期投资,5,2,,53,5,25.33,13.67,13.67,13.67,13.67,,,,,,,,
QCF62 长期应收款(附注62表),八、财务报表主要项目注释,14、长期应收款,1,1,缺2张,54,8,15.87,9.07,9.07,9.07,9.07,9.07,9.07,9.73,,,,,
QCF63 长期股权投资分类(附注63表),八、财务报表主要项目注释,15、长期股权投资,1,1,,57,5,27.2,13.2,13.2,13.2,13.2,,,,,,,,
QCF64 长期股权投资明细(附注64表),八、财务报表主要项目注释,15、长期股权投资,1,2,,58,13,7.67,5.8,5.2,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.2,6.13,6.07
QCF65 重要合营企业的主要财务信息(附注65表),八、财务报表主要项目注释,15、长期股权投资,4,0,行列转置,,,,,,,,,,,,,,,
QCF65 重要合营企业的主要财务信息(附注65表)1,八、财务报表主要项目注释,15、长期股权投资,0,3,,59,7,14.8,10.87,10.87,10.87,10.87,10.87,10.87,,,,,,
QCF65 重要合营企业的主要财务信息(附注65表)2,八、财务报表主要项目注释,15、长期股权投资,0,4,,60,7,13.2,11.13,11.13,11.13,11.13,11.13,11.13,,,,,,
QCF66 重要联营企业的主要财务信息(附注66表),八、财务报表主要项目注释,15、长期股权投资,4,0,行列转置,,,,,,,,,,,,,,,
QCF66 重要联营企业的主要财务信息(附注66表)1,八、财务报表主要项目注释,15、长期股权投资,0,5,,61,7,13.2,11.13,11.13,11.13,11.13,11.13,11.13,,,,,,
QCF66 重要联营企业的主要财务信息(附注66表)2,八、财务报表主要项目注释,15、长期股权投资,0,6,,62,7,13.2,11.13,11.13,11.13,11.13,11.13,11.13,,,,,,
QCF67 不重要合营企业和联营企业的汇总信息(附注67表),八、财务报表主要项目注释,15、长期股权投资,1,7,缺3张,63,3,40,17.33,22.67,,,,,,,,,,
QCF71 投资性房地产(以成本计量)(附注71表),八、财务报表主要项目注释,16、投资性房地产,1,1,,67,7,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF72 投资性房地产（以公允价值）(附注72表),八、财务报表主要项目注释,16、投资性房地产,1,2,缺1张,68,8,19.33,9.47,7.8,9.6,9.6,7.47,7.93,8.8,,,,,
QCF73 固定资产(附注73表),八、财务报表主要项目注释,17、固定资产,1,1,,70,3,26.67,26.67,26.67,,,,,,,,,,
QCF74 固定资产情况(附注74表),八、财务报表主要项目注释,17、固定资产,1,2,,71,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF75 暂时闲置的固定资产情况(附注75表),八、财务报表主要项目注释,17、固定资产,1,3,,72,6,13.33,13.33,13.33,13.33,13.33,13.33,,,,,,,
QCF76 固定资产清理(附注76表),八、财务报表主要项目注释,17、固定资产,5,4,,73,4,20,20,20,20,,,,,,,,,
QCF77 在建工程情况(附注77表),八、财务报表主要项目注释,18、在建工程,5,2,前面缺一张合计表,75,7,14,11,11,11,11,11,11,,,,,,
QCF78 重要在建工程项目本期变动情况(附注78表),八、财务报表主要项目注释,18、在建工程,5,3,,76,13,10,9,7.13,6.87,11.73,9.73,6.87,12.2,7.47,9,9,9,6.27
QCF79 本期计提在建工程减值准备(附注79表),八、财务报表主要项目注释,18、在建工程,5,4,,77,3,26.67,26.67,26.67,,,,,,,,,,
QCF80 工程物资(附注80表),八、财务报表主要项目注释,18、在建工程,5,5,,78,3,26.67,26.67,26.67,,,,,,,,,,
QCF81 生产性生物资产(以成本计量)(附注81表),八、财务报表主要项目注释,19、生产性生物资产,5,1,,79,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF82 生产性生物资产(以公允价值计量)(附注82表),八、财务报表主要项目注释,19、生产性生物资产,5,2,,80,5,26.93,13.27,13.27,13.27,13.27,,,,,,,,
QCF83 油气资产(附注83表),八、财务报表主要项目注释,20、油气资产,1,1,,81,5,26.93,13.27,13.27,13.27,13.27,,,,,,,,
QCF85 无形资产(附注85表),八、财务报表主要项目注释,21、无形资产,1,1,,82,5,26.93,13.27,13.27,13.27,13.27,,,,,,,,
QCF86 开发支出(附注86表),八、财务报表主要项目注释,22、开发支出,5,1,,83,8,10,10,10,10,10,10,10,10,,,,,
QCF87 商誉账面价值(附注87表),八、财务报表主要项目注释,23、商誉,5,1,,84,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF88 商誉减值准备(附注88表),八、财务报表主要项目注释,23、商誉,5,2,,85,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF89 长期待摊费用(附注89表),八、财务报表主要项目注释,24、长期待摊费用,5,1,,86,7,15.2,10.8,10.8,10.8,10.8,10.8,10.8,,,,,,
QCF90 递延所得税资产和递延所得税负债不以抵销后的净额列示,八、财务报表主要项目注释,25、递延所得税资产和递延所得税负债,1,1,,87,5,21.33,14.67,14.67,14.67,14.67,,,,,,,,
QCF91 互抵后的递延所得税资产或负债及对应的互抵后可抵扣或,八、财务报表主要项目注释,25、递延所得税资产和递延所得税负债,1,2,,88,5,21.33,14.67,14.67,14.67,14.67,,,,,,,,
QCF92 递延所得税资产和递延所得税负债互抵明细(附注92表,八、财务报表主要项目注释,25、递延所得税资产和递延所得税负债,1,3,,89,2,38.27,41.73,,,,,,,,,,,
QCF93 未确认递延所得税资产明细(附注93表),八、财务报表主要项目注释,25、递延所得税资产和递延所得税负债,1,4,,90,3,29,21.67,29.33,,,,,,,,,,
QCF94 未确认递延所得税资产的可抵扣亏损将于以下年度到期(,八、财务报表主要项目注释,25、递延所得税资产和递延所得税负债,5,5,,91,4,20,20,20,20,,,,,,,,,
QCF95 其他非流动资产(附注95表),八、财务报表主要项目注释,26、其他非流动资产,5,1,,92,3,26.67,26.67,26.67,,,,,,,,,,
QCF96 短期借款分类(附注96表),八、财务报表主要项目注释,27、短期借款,1,1,,93,3,26.67,26.67,26.67,,,,,,,,,,
QCF97 已逾期未偿还的短期借款情况(附注97表),八、财务报表主要项目注释,27、短期借款,5,2,,94,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF99 以公允价值计量且其变动计入当期损益的金融负债(附注,八、财务报表主要项目注释,28、以公允价值计量且其变动计入当期损益的金融负债,5,1,,95,3,36.93,21.53,21.53,,,,,,,,,,
QCF100 衍生金融负债(附注100表),八、财务报表主要项目注释,29、衍生金融负债,5,1,,96,3,36.93,21.53,21.53,,,,,,,,,,
QCF101 应付票据(附注101表),八、财务报表主要项目注释,30、应付票据,1,1,,97,3,36.8,21.6,21.6,,,,,,,,,,
QCF102 应付账款(附注102表),八、财务报表主要项目注释,31、应付账款,1,1,,98,3,36.8,21.6,21.6,,,,,,,,,,
QCF103 应付账款（账龄超过1年的重要应付账款）(附注10,八、财务报表主要项目注释,31、应付账款,5,2,,99,3,36.8,21.6,21.6,,,,,,,,,,
QCF104 预收款项(附注104表),八、财务报表主要项目注释,32、预收款项,1,1,,100,3,36.8,21.6,21.6,,,,,,,,,,
QCF105 账龄超过1年的重要预收款项(附注105表),八、财务报表主要项目注释,32、预收款项,5,2,,101,3,36.8,21.6,21.6,,,,,,,,,,
QCF107 应付职工薪酬列示(附注107表),八、财务报表主要项目注释,33、应付职工薪酬,1,1,,102,5,26.4,13.4,13.4,13.4,13.4,,,,,,,,
QCF108 应付职工薪酬（短期薪酬）(附注108表),八、财务报表主要项目注释,33、应付职工薪酬,5,2,,103,5,26.4,13.4,13.4,13.4,13.4,,,,,,,,
